index,date,ch4_ppb,value_unc
0,1/6/1991,1724.09,2.71
1,1/13/1991,1727.43,2.71
2,1/20/1991,1724.9975,2.71
3,1/27/1991,1727.43,2.71
4,2/3/1991,1728.335,2.71
5,2/10/1991,1727.43,2.71
6,2/17/1991,1727.43,2.71
7,2/24/1991,1739.58,2.71
8,3/3/1991,1739.58,2.71
9,3/10/1991,1748.25,2.71
10,3/17/1991,1745.325,2.71
11,3/24/1991,1745.325,2.71
12,3/31/1991,1758.555,2.71
13,4/7/1991,1745.325,2.71
14,4/14/1991,1745.325,2.71
15,4/21/1991,1745.325,2.71
16,4/28/1991,1745.325,2.71
17,5/5/1991,1752.04,2.71
18,5/12/1991,1752.585,2.71
19,5/19/1991,1752.04,2.71
20,5/26/1991,1752.04,2.71
21,6/2/1991,1744.185,2.71
22,6/9/1991,1750.515,2.71
23,6/16/1991,1736.065,2.71
24,6/23/1991,1732.59,2.71
25,6/30/1991,1732.59,2.71
26,7/7/1991,1729.005,2.71
27,7/14/1991,1731.28,2.71
28,7/21/1991,1733.6725,2.71
29,7/28/1991,1729.89,2.71
30,8/4/1991,1727.0125,2.71
31,8/11/1991,1725.3275,2.71
32,8/18/1991,1720.6125,2.71
33,8/25/1991,1720.6125,2.71
34,9/1/1991,1720.6125,2.71
35,9/8/1991,1725.13,2.71
36,9/15/1991,1736.88,2.71
37,9/22/1991,1741.71,2.71
38,9/29/1991,1745.78,2.71
39,10/6/1991,1747.655,2.71
40,10/13/1991,1749.47,2.71
41,10/20/1991,1749.47,2.71
42,10/27/1991,1755.915,2.71
43,11/3/1991,1749.47,2.71
44,11/10/1991,1749.47,2.71
45,11/17/1991,1758.02,2.71
46,11/24/1991,1758.02,2.71
47,12/1/1991,1747.455,2.71
48,12/8/1991,1747.455,2.71
49,12/15/1991,1747.455,2.71
50,12/22/1991,1747.455,2.71
51,12/29/1991,1757.735,2.71
52,1/5/1992,1757.735,2.71
53,1/12/1992,1757.735,2.71
54,1/19/1992,1757.735,2.71
55,1/26/1992,1757.735,2.71
56,2/2/1992,1752.945,2.71
57,2/9/1992,1752.945,2.71
58,2/16/1992,1752.945,2.71
59,2/23/1992,1752.945,2.71
60,3/1/1992,1750.845,2.71
61,3/8/1992,1752.18,2.71
62,3/15/1992,1746.5975,2.71
63,3/22/1992,1749.925,2.71
64,3/29/1992,1754.285,2.71
65,4/5/1992,1751.9,2.71
66,4/12/1992,1751.9,2.71
67,4/19/1992,1752.03,2.71
68,4/26/1992,1752.03,2.71
69,5/3/1992,1752.03,2.71
70,5/10/1992,1751.77,2.71
71,5/17/1992,1746.34,2.71
72,5/24/1992,1746.34,2.71
73,5/31/1992,1746.34,2.71
74,6/7/1992,1744.785,2.71
75,6/14/1992,1744.785,2.71
76,6/21/1992,1746.34,2.71
77,6/28/1992,1744.785,2.71
78,7/5/1992,1739.345,2.71
79,7/12/1992,1739.345,2.71
80,7/19/1992,1734.625,2.71
81,7/26/1992,1729.52,2.71
82,8/2/1992,1727.735,2.71
83,8/9/1992,1724.7025,2.71
84,8/16/1992,1723.73,2.71
85,8/23/1992,1723.73,2.71
86,8/30/1992,1723.73,2.71
87,9/6/1992,1725.55,2.71
88,9/13/1992,1726.7625,2.71
89,9/20/1992,1730.8275,2.71
90,9/27/1992,1725.79,2.71
91,10/4/1992,1735.865,2.71
92,10/11/1992,1736.05,2.71
93,10/18/1992,1735.865,2.71
94,10/25/1992,1736.05,2.71
95,11/1/1992,1739.2225,2.71
96,11/8/1992,1749.4575,2.71
97,11/15/1992,1753.9725,2.71
98,11/22/1992,1763.57,2.71
99,11/29/1992,1753.9725,2.71
100,12/6/1992,1756.52,2.71
101,12/13/1992,1751.425,2.71
102,12/20/1992,1751.225,2.71
103,12/27/1992,1751.225,2.71
104,1/3/1993,1750.9225,2.71
105,1/10/1993,1746.5475,2.71
106,1/17/1993,1742.2525,2.71
107,1/24/1993,1742.275,2.71
108,1/31/1993,1742.23,2.71
109,2/7/1993,1740.84,2.71
110,2/14/1993,1740.84,2.71
111,2/21/1993,1742.23,2.71
112,2/28/1993,1743.81,2.71
113,3/7/1993,1743.81,2.71
114,3/14/1993,1740.44,2.71
115,3/21/1993,1740.44,2.71
116,3/28/1993,1750.55,2.71
117,4/4/1993,1750.55,2.71
118,4/11/1993,1749.585,2.71
119,4/18/1993,1748.395,2.71
120,4/25/1993,1749.585,2.71
121,5/2/1993,1750.55,2.71
122,5/9/1993,1753.53,2.71
123,5/16/1993,1753.53,2.71
124,5/23/1993,1749.585,2.71
125,5/30/1993,1748.395,2.71
126,6/6/1993,1747.165,2.71
127,6/13/1993,1747.165,2.71
128,6/20/1993,1745.86,2.71
129,6/27/1993,1742.24,2.71
130,7/4/1993,1742.24,2.71
131,7/11/1993,1731.14,2.71
132,7/18/1993,1727.315,2.71
133,7/25/1993,1726.995,2.71
134,8/1/1993,1726.995,2.71
135,8/8/1993,1727.315,2.71
136,8/15/1993,1727.99,2.71
137,8/22/1993,1731.14,2.71
138,8/29/1993,1732.9225,2.71
139,9/5/1993,1733.5225,2.71
140,9/12/1993,1737.855,2.71
141,9/19/1993,1751.755,2.71
142,9/26/1993,1756.485,2.71
143,10/3/1993,1760.265,2.71
144,10/10/1993,1762.075,2.71
145,10/17/1993,1758.2625,2.71
146,10/24/1993,1768.77,2.71
147,10/31/1993,1775.465,2.71
148,11/7/1993,1775.465,2.71
149,11/14/1993,1767.55,2.71
150,11/21/1993,1767.55,2.71
151,11/28/1993,1762.53,2.71
152,12/5/1993,1767.55,2.71
153,12/12/1993,1762.53,2.71
154,12/19/1993,1759.205,2.71
155,12/26/1993,1759.045,2.71
156,1/2/1994,1759.045,2.71
157,1/9/1994,1759.045,2.71
158,1/16/1994,1759.045,2.71
159,1/23/1994,1756.735,2.71
160,1/30/1994,1754.8,2.71
161,2/6/1994,1754.8,2.71
162,2/13/1994,1754.8,2.71
163,2/20/1994,1754.65,2.71
164,2/27/1994,1754.65,2.71
165,3/6/1994,1754.8,2.71
166,3/13/1994,1754.09,2.71
167,3/20/1994,1763.255,2.71
168,3/27/1994,1754.09,2.71
169,4/3/1994,1763.255,2.71
170,4/10/1994,1763.255,2.71
171,4/17/1994,1759.585,2.71
172,4/24/1994,1754.45,2.71
173,5/1/1994,1754.45,2.71
174,5/8/1994,1753.635,2.71
175,5/15/1994,1753.635,2.71
176,5/22/1994,1753.1,2.71
177,5/29/1994,1752.22,2.71
178,6/5/1994,1752.16,2.71
179,6/12/1994,1750.12,2.71
180,6/19/1994,1749.11,2.71
181,6/26/1994,1743.1325,2.71
182,7/3/1994,1740.41,2.71
183,7/10/1994,1738.43,2.71
184,7/17/1994,1738.13,2.71
185,7/24/1994,1733.76,2.71
186,7/31/1994,1733.76,2.71
187,8/7/1994,1733.76,2.71
188,8/14/1994,1733.76,2.71
189,8/21/1994,1734.92,2.71
190,8/28/1994,1735.73,2.71
191,9/4/1994,1741.925,2.71
192,9/11/1994,1753.05,2.71
193,9/18/1994,1755.55,2.71
194,9/25/1994,1766.73,2.71
195,10/2/1994,1767.655,2.71
196,10/9/1994,1769.91,2.71
197,10/16/1994,1769.91,2.71
198,10/23/1994,1769.91,2.71
199,10/30/1994,1769.91,2.71
200,11/6/1994,1786.26,2.71
201,11/13/1994,1786.26,2.71
202,11/20/1994,1786.26,2.71
203,11/27/1994,1780.69,2.71
204,12/4/1994,1783.475,2.71
205,12/11/1994,1778.6775,2.71
206,12/18/1994,1783.74,2.71
207,12/25/1994,1778.6775,2.71
208,1/1/1995,1778.6775,2.71
209,1/8/1995,1769.095,2.71
210,1/15/1995,1756.0525,2.71
211,1/22/1995,1761.525,2.71
212,1/29/1995,1750.58,2.71
213,2/5/1995,1750.58,2.71
214,2/12/1995,1750.58,2.71
215,2/19/1995,1764.06,2.71
216,2/26/1995,1764.06,2.71
