date,value,value_unc,qcflag,method
1983-05-06,1659.334,3.3,...,P
1983-05-06,1654.272,3.3,...,P
1983-05-13,1645.17,3.3,...,P
1983-05-20,1631.007,3.3,...,P
1983-05-20,1627.97,3.3,...,P
1983-05-27,1609.756,3.3,...,P
1983-06-03,1660.346,3.3,...,P
1983-06-03,1651.235,3.3,...,P
1983-06-17,1622.908,3.3,...,P
1983-06-17,1612.794,3.3,...,P
1983-06-24,1627.97,3.3,...,P
1983-06-24,1634.034,3.3,...,P
1983-07-01,1629.994,3.3,...,P
1983-07-01,1656.296,3.3,...,P
1983-07-08,1628.982,3.3,...,P
1983-07-08,1610.769,3.3,...,P
1983-07-15,1655.284,3.3,...,P
1983-07-28,1622.908,3.3,...,P
1983-07-28,1645.17,3.3,...,P
1983-08-05,1616.833,3.3,...,P
1983-08-05,1611.781,3.3,...,P
1983-08-12,1617.846,3.3,...,P
1983-08-12,1625.945,3.3,...,P
1983-08-19,1623.92,3.3,...,P
1983-08-19,1618.858,3.3,...,P
1983-08-26,1642.133,3.3,...,P
1983-08-26,1638.083,3.3,...,P
1983-09-02,1642.133,3.3,...,P
1983-09-02,1643.145,3.3,...,P
1983-09-09,1669.448,3.3,...,P
1983-09-09,1673.497,3.3,...,P
1983-09-16,1642.133,3.3,...,P
1983-09-16,1640.108,3.3,...,P
1983-09-23,1639.096,3.3,...,P
1983-09-23,1643.145,3.3,...,P
1983-09-30,1646.183,3.3,...,P
1983-09-30,1632.009,3.3,...,P
1983-10-07,1673.497,3.3,...,P
1983-10-07,1668.435,3.3,...,P
1983-10-12,1671.472,3.3,...,P
1983-10-12,1674.51,3.3,...,P
1983-10-21,1663.383,3.3,...,P
1983-10-21,1666.41,3.3,...,P
1983-10-28,1679.572,3.3,...,P
1983-10-28,1677.547,3.3,...,P
1983-11-04,1654.272,3.3,...,P
1983-11-04,1657.309,3.3,...,P
1983-11-16,1655.284,3.3,...,P
1983-11-16,1658.321,3.3,...,P
1983-11-17,1646.183,3.3,...,P
1983-11-17,1651.235,3.3,...,P
1983-11-25,1662.371,3.3,...,P
1983-11-25,1659.334,3.3,...,P
1983-12-02,1656.296,3.3,...,P
1983-12-02,1648.207,3.3,...,P
1983-12-09,1646.183,3.3,...,P
1983-12-09,1643.145,3.3,...,P
1983-12-16,1658.321,3.3,...,P
1983-12-16,1659.334,3.3,...,P
