,value,value_unc,qcflag
1991-01-04,1719.845,2.71,...
1991-01-11,1736.94,2.71,...
1991-01-18,1728.335,2.71,...
1991-01-25,1716.08,2.71,...
1991-02-01,1727.43,2.71,...
1991-02-08,1722.565,2.71,...
1991-02-15,1748.25,2.71,...
1991-02-22,1739.58,2.71,...
1991-03-01,1712.24,2.71,...
1991-03-08,1770.59,2.71,...
1991-03-15,1763.3899999999999,2.71,...
1991-03-22,1736.425,2.71,...
1991-03-29,1758.555,2.71,...
1991-04-05,1745.325,2.71,...
1991-04-12,1723.255,2.71,...
1991-04-19,1768.575,2.71,...
1991-04-26,1739.695,2.71,...
1991-05-03,1753.25,2.71,...
1991-05-10,1744.185,2.71,...
1991-05-17,1752.04,2.71,...
1991-05-24,1762.85,2.71,...
1991-05-31,1752.585,2.71,...
1991-06-07,1732.5900000000001,2.71,...
1991-06-14,1729.005,2.71,...
1991-06-21,1723.465,2.71,...
1991-06-28,1750.515,2.71,...
1991-07-05,1736.065,2.71,...
1991-07-12,1728.5,2.71,...
1991-07-19,1737.8766666666668,2.7099999999999995,...
1991-07-26,1725.525,2.71,...
1991-08-02,1731.2800000000002,2.71,...
1991-08-16,1716.095,2.71,...
1991-08-23,1725.13,2.71,...
1991-08-30,1713.1799999999998,2.71,...
1991-09-06,1710.285,2.71,...
1991-09-13,1736.88,2.71,...
1991-09-20,1752.695,2.71,...
1991-09-27,1741.71,2.71,...
1991-10-04,1755.915,2.71,...
1991-10-11,1745.78,2.71,...
1991-10-18,1747.655,2.71,...
1991-10-25,1749.47,2.71,...
1991-11-01,1758.705,2.71,...
1991-11-08,1760.1799999999998,2.71,...
1991-11-15,1758.02,2.71,...
1991-11-22,1733.075,2.71,...
1991-11-29,1745.04,2.71,...
1991-12-06,1758.025,2.71,...
1991-12-13,1733.97,2.71,...
1991-12-20,1747.455,2.71,...
1991-12-27,1787.175,2.71,...
1991-12-31,1762.46,2.71,...
1992-01-10,1745.46,2.71,...
1992-01-17,1757.7350000000001,2.71,...
1992-01-24,1759.025,2.71,...
1992-01-31,1752.945,2.71,...
1992-02-07,1745.15,2.71,...
1992-02-14,1761.23,2.71,...
1992-02-21,1741.7350000000001,2.71,...
1992-02-28,1737.42,2.71,...
1992-03-06,1756.54,2.71,...
1992-03-13,1763.915,2.71,...
1992-03-26,1747.82,2.71,...
1992-04-03,1745.375,2.71,...
1992-04-10,1752.0300000000002,2.71,...
1992-04-17,1760.425,2.71,...
1992-04-24,1751.77,2.71,...
1992-05-01,1755.395,2.71,...
1992-05-08,1767.9650000000001,2.71,...
1992-05-15,1719.13,2.71,...
1992-05-22,1726.565,2.71,...
1992-05-29,1746.3400000000001,2.71,...
1992-06-05,1744.7849999999999,2.71,...
1992-06-12,1746.63,2.71,...
1992-06-19,1754.6149999999998,2.71,...
1992-06-26,1734.625,2.71,...
1992-07-01,1729.52,2.71,...
1992-07-10,1761.6399999999999,2.71,...
1992-07-17,1739.345,2.71,...
1992-07-24,1709.02,2.71,...
1992-07-31,1744.595,2.71,...
1992-08-07,1721.4499999999998,2.71,...
1992-08-14,1721.67,2.71,...
1992-08-21,1727.7350000000001,2.71,...
1992-09-04,1725.79,2.71,...
1992-09-11,1713.43,2.71,...
1992-09-18,1763.245,2.71,...
1992-09-25,1725.31,2.71,...
1992-10-02,1735.865,2.71,...
1992-10-09,1736.0500000000002,2.71,...
1992-10-16,1723.23,2.71,...
1992-10-23,1742.395,2.71,...
1992-10-30,1771.815,2.71,...
1992-11-06,1712.6550000000002,2.71,...
1992-11-13,1779.005,2.71,...
1992-11-27,1756.52,2.71,...
1992-12-04,1751.4250000000002,2.71,...
1992-12-11,1770.62,2.71,...
1992-12-18,1750.82,2.71,...
1992-12-31,1751.025,2.71,...
1993-01-08,1742.275,2.71,...
1993-01-15,1772.84,2.71,...
1993-01-22,1736.495,2.71,...
1993-01-27,1744.74,2.71,...
1993-01-29,1739.72,2.71,...
1993-02-05,1740.8400000000001,2.71,...
1993-02-12,1743.81,2.71,...
1993-02-19,1734.955,2.71,...
1993-02-26,1738.8049999999998,2.71,...
1993-03-05,1767.955,2.71,...
1993-03-12,1766.5549999999998,2.71,...
1993-03-19,1751.51,2.71,...
1993-03-26,1736.625,2.71,...
1993-04-02,1740.44,2.71,...
1993-04-09,1726.27,2.71,...
1993-04-16,1750.5500000000002,2.71,...
1993-04-23,1756.12,2.71,...
1993-04-30,1749.585,2.71,...
1993-05-07,1748.395,2.71,...
1993-05-14,1753.53,2.71,...
1993-05-21,1755.52,2.71,...
1993-05-28,1754.595,2.71,...
1993-06-04,1729.975,2.71,...
1993-06-11,1747.165,2.71,...
1993-06-18,1742.2399999999998,2.71,...
1993-06-25,1745.8600000000001,2.71,...
1993-07-02,1756.775,2.71,...
1993-07-09,1724.71,2.71,...
1993-07-16,1727.315,2.71,...
1993-07-23,1723.8000000000002,2.71,...
1993-07-30,1731.1399999999999,2.71,...
1993-08-06,1726.995,2.71,...
1993-08-13,1724.495,2.71,...
1993-08-20,1727.99,2.71,...
1993-08-27,1737.855,2.71,...
1993-09-03,1756.4850000000001,2.71,...
1993-09-10,1760.2649999999999,2.71,...
1993-09-23,1729.19,2.71,...
1993-10-08,1751.755,2.71,...
1993-10-15,1776.6799999999998,2.71,...
1993-10-22,1762.0749999999998,2.71,...
1993-10-29,1776.6599999999999,2.71,...
1993-11-05,1754.45,2.71,...
1993-11-12,1775.465,2.71,...
1993-11-19,1776.38,2.71,...
1993-11-26,1767.5500000000002,2.71,...
1993-12-03,1762.5300000000002,2.71,...
1993-12-10,1759.205,2.71,...
1993-12-17,1755.63,2.71,...
1993-12-23,1773.7350000000001,2.71,...
1993-12-30,1756.7350000000001,2.71,...
1994-01-07,1759.045,2.71,...
1994-01-14,1750.295,2.71,...
1994-01-21,1766.48,2.71,...
1994-01-28,1779.005,2.71,...
1994-02-04,1754.65,2.71,...
1994-02-11,1754.8000000000002,2.71,...
1994-02-18,1730.415,2.71,...
1994-02-25,1769.3249999999998,2.71,...
1994-03-04,1731.49,2.71,...
