date,log_ch4
1983-05-08,7.40081
1983-05-15,7.40560
1983-05-22,7.40560
1983-05-29,7.40081
1983-06-05,7.39649
1983-06-12,7.39649
1983-06-19,7.39353
1983-06-26,7.40066
1983-07-03,7.39695
1983-07-10,7.39788
1983-07-17,7.39788
1983-07-24,7.39508
1983-07-31,7.39119
1983-08-07,7.39508
1983-08-14,7.39508
1983-08-21,7.39881
1983-08-28,7.40252
1983-09-04,7.40313
1983-09-11,7.40313
1983-09-18,7.40313
1983-09-25,7.40406
1983-10-02,7.41752
1983-10-09,7.41752
1983-10-16,7.41752
1983-10-23,7.41934
1983-10-30,7.41934
1983-11-06,7.41630
1983-11-13,7.41356
1983-11-20,7.41112
1983-11-27,7.41112
1983-12-04,7.41005
1983-12-11,7.41020
1983-12-18,7.41265
1983-12-25,7.40989
1984-01-01,7.40897
1984-01-08,7.41265
1984-01-15,7.41265
1984-01-22,7.41478
1984-01-29,7.41944
1984-02-05,7.41478
1984-02-12,7.41478
1984-02-19,7.41478
1984-02-26,7.41341
1984-03-04,7.41173
1984-03-11,7.41142
1984-03-18,7.41142
1984-03-25,7.41173
1984-04-01,7.40874
1984-04-08,7.41462
1984-04-15,7.41188
1984-04-22,7.41188
1984-04-29,7.40995
1984-05-06,7.40743
1984-05-13,7.40803
1984-05-20,7.40995
1984-05-27,7.40803
1984-06-03,7.40803
1984-06-10,7.46296
1984-06-17,7.48816
1984-06-24,7.48816
1984-07-01,7.51336
1984-07-08,7.45840
1984-07-15,7.40468
1984-07-22,7.40468
1984-07-29,7.40344
1984-08-05,7.40313
1984-08-12,7.40313
1984-08-19,7.40344
1984-08-26,7.40468
1984-09-02,7.40621
1984-09-09,7.41387
1984-09-16,7.41387
1984-09-23,7.41830
1984-09-30,7.41830
1984-10-07,7.41830
1984-10-14,7.42321
1984-10-21,7.42321
1984-10-28,7.42321
1984-11-04,7.42547
1984-11-11,7.42773
1984-11-18,7.42773
1984-11-25,7.42321
1984-12-02,7.42773
1984-12-09,7.42154
1984-12-16,7.41941
1984-12-23,7.41728
1984-12-30,7.41714
1985-01-06,7.41797
1985-01-13,7.41704
1985-01-20,7.41441
1985-01-27,7.41407
1985-02-03,7.41475
1985-02-10,7.41475
1985-02-17,7.41585
1985-02-24,7.41585
1985-03-03,7.41732
1985-03-10,7.42410
1985-03-17,7.42410
1985-03-24,7.42410
1985-03-31,7.42410
1985-04-07,7.42187
1985-04-14,7.42187
1985-04-21,7.42187
1985-04-28,7.42187
1985-05-05,7.42187
1985-05-12,7.42399
1985-05-19,7.42399
1985-05-26,7.42399
1985-06-02,7.41344
1985-06-09,7.41241
1985-06-16,7.41241
1985-06-23,7.41241
1985-06-30,7.41241
1985-07-07,7.41293
1985-07-14,7.41208
1985-07-21,7.40988
1985-07-28,7.41047
1985-08-04,7.41047
1985-08-11,7.41370
1985-08-18,7.41222
1985-08-25,7.41063
1985-09-01,7.41381
1985-09-08,7.42448
1985-09-15,7.42294
1985-09-22,7.42294
1985-09-29,7.42294
1985-10-06,7.42294
1985-10-13,7.42294
1985-10-20,7.42294
1985-10-27,7.41634
1985-11-03,7.41634
1985-11-10,7.41506
1985-11-17,7.35343
1985-11-24,7.31188
1985-12-01,7.42141
1985-12-08,7.41634
1985-12-15,7.42635
1985-12-22,7.42635
1985-12-29,7.42338
1986-01-05,7.42527
1986-01-12,7.42527
1986-01-19,7.42490
1986-01-26,7.42419
1986-02-02,7.42237
1986-02-09,7.42041
1986-02-16,7.41958
1986-02-23,7.41950
1986-03-02,7.41958
1986-03-09,7.41739
1986-03-16,7.41739
1986-03-23,7.42318
1986-03-30,7.42868
1986-04-06,7.43575
1986-04-13,7.43058
1986-04-20,7.42958
1986-04-27,7.42858
1986-05-04,7.42858
1986-05-11,7.42858
1986-05-18,7.42623
1986-05-25,7.42571
1986-06-01,7.42533
1986-06-08,7.42533
1986-06-15,7.42533
1986-06-22,7.42687
1986-06-29,7.42533
1986-07-06,7.42517
1986-07-13,7.42436
1986-07-20,7.42436
1986-07-27,7.41880
1986-08-03,7.41880
1986-08-10,7.41880
1986-08-17,7.41970
1986-08-24,7.41970
1986-08-31,7.41736
1986-09-07,7.41970
1986-09-14,7.42336
1986-09-21,7.42336
1986-09-28,7.43013
1986-10-05,7.43379
1986-10-12,7.43379
1986-10-19,7.43379
1986-10-26,7.43135
1986-11-02,7.43433
1986-11-09,7.43433
1986-11-16,7.43433
1986-11-23,7.43588
1986-11-30,7.43753
1986-12-07,7.43753
1986-12-14,7.43753
1986-12-21,7.43753
1986-12-28,7.43697
1987-01-04,7.43622
1987-01-11,7.43249
1987-01-18,7.42937
1987-01-25,7.42937
1987-02-01,7.42937
1987-02-08,7.43171
1987-02-15,7.43141
1987-02-22,7.43141
1987-03-01,7.43141
1987-03-08,7.43171
1987-03-15,7.43753
1987-03-22,7.43141
1987-03-29,7.43141
1987-04-05,7.43266
1987-04-12,7.43266
1987-04-19,7.43266
1987-04-26,7.43229
1987-05-03,7.43229
1987-05-10,7.43229
1987-05-17,7.43229
