,lower,upper
2025-04-13,1938.6953858003023,1958.4558480241317
2025-04-20,1938.7350061233606,1958.4861286228102
2025-04-27,1938.6950015101877,1958.3005608328149
2025-05-04,1938.8156428041716,1958.3413979019535
2025-05-11,1937.2853343114725,1956.9239642136517
2025-05-18,1936.6779845877788,1957.3462137390986
2025-05-25,1937.3335654485707,1957.0269586133306
2025-06-01,1937.311912044742,1956.9996865117566
2025-06-08,1936.0746662240708,1957.9511254035488
2025-06-15,1937.145744478823,1956.8491666326254
2025-06-22,1937.7942386983766,1957.4985501443578
2025-06-29,1937.6616300781102,1957.3417230545247
2025-07-06,1937.157937565611,1956.8455247667177
