horizon,date,y_pred,sigma,sigma_calibrated,lower,upper
1,2025-01-05,1954.3796211801548,12.909170993288251,13.26606922858376,1921.0533406136358,1987.7059017466738
2,2025-01-12,1954.4301019770053,13.084840265002718,13.446595206674116,1920.6503140985824,1988.2098898554282
3,2025-01-19,1954.391573864643,13.133686567541902,13.496791956828101,1920.4856845050404,1988.2974632242458
4,2025-01-26,1954.3576821182946,13.171747642073392,13.535905301125077,1920.3535343926699,1988.3618298439194
5,2025-02-02,1954.2725205618453,13.205090443202455,13.570169926505207,1920.1822951519232,1988.3627459717675
6,2025-02-09,1954.0912541398354,13.234266380263358,13.600152487047628,1919.9257082105098,1988.256800069161
7,2025-02-16,1953.8008585043547,13.259938071566642,13.626533920388411,1919.5690386068993,1988.03267840181
8,2025-02-23,1953.4207597197951,13.283106087816753,13.650342459885078,1919.129129334887,1987.7123901047032
9,2025-03-02,1952.995226520088,13.304905299758936,13.672744351912375,1918.6473193491884,1987.3431336909875
10,2025-03-09,1952.580686203193,13.32642179753996,13.694855713615473,1918.1772321004082,1986.9841403059777
11,2025-03-16,1952.231021198353,13.348557244661924,13.717603136674498,1917.7704222857553,1986.6916201109505
12,2025-03-23,1951.983965348751,13.371918626565279,13.741610387780431,1917.4630567564586,1986.5048739410436
13,2025-03-30,1951.8512227985707,13.396733273668726,13.881476269532596,1922.0836376522495,1981.6188079448918
14,2025-04-06,1951.8139627320288,13.422821633935023,13.908508602456578,1921.9884091638773,1981.6395163001803
15,2025-04-13,1951.824138430218,13.44966380826267,13.936322025202276,1921.9389414629268,1981.7093353975092
16,2025-04-20,1951.810914852705,13.47656090066142,13.96419235315652,1921.8659524581406,1981.7558772472696
17,2025-04-27,1951.6906095665177,13.50284372752512,13.991426189193383,1921.6872466447076,1981.6939724883277
18,2025-05-04,1951.3781169009912,13.528055770902222,14.017550496865729,1921.3187327363446,1981.437501065638
19,2025-05-11,1950.7978385792278,13.552052068745867,14.042415068867614,1920.6851345622958,1980.9105425961598
20,2025-05-18,1949.8926115322079,13.574997834753493,14.066191096934633,1919.7289219481659,1980.0563011162499
21,2025-05-25,1948.629838371085,13.597289931667977,14.089289803760776,1918.4166156747958,1978.8430610673743
22,2025-06-01,1947.0047753586546,13.619439279596282,14.11224059641832,1916.7423367388321,1977.267213978477
23,2025-06-08,1945.0415138489366,13.641944447354243,14.135560083773347,1914.7290686727558,1975.3539590251173
24,2025-06-15,1942.792462467295,13.665174252906189,14.159630428978248,1912.4284005872078,1973.1565243473824
25,2025-06-22,1940.33705291264,13.689275347384891,14.184603589542208,1909.9194383218016,1970.7546675034785
26,2025-06-29,1937.7800114093643,13.714127474787976,14.382155557185419,1905.0831206104099,1970.4769022083187
27,2025-07-06,1935.2490070930105,13.73936903013959,14.408626652502244,1902.4919359887144,1968.0060781973066
28,2025-07-13,1932.8910015349738,13.764497101965778,14.434978736404101,1900.0740206900107,1965.707982379937
29,2025-07-20,1930.8663678184469,13.789015185007319,14.46069111839236,1897.9909315533132,1963.7418040835805
30,2025-07-27,1929.3399524415795,13.812578251330661,14.48540196389745,1896.4083376840206,1962.2715671991384
31,2025-08-03,1928.4687513802949,13.835086096624329,14.509006187561383,1895.4834739627497,1961.45402879784
32,2025-08-10,1928.3866836942127,13.85670104353641,14.531674018921516,1895.3498724433916,1961.4234949450338
33,2025-08-17,1929.187894330523,13.877797088945561,14.553797672597161,1896.1007863988305,1962.2750022622156
34,2025-08-24,1930.9108647968778,13.898864809668279,14.575891621864185,1897.7735277153454,1964.0482018784103
35,2025-08-31,1933.5261149452836,13.920395051028922,14.598470621585587,1900.3374459834008,1966.7147839071663
36,2025-09-07,1936.9302564864943,13.942756890917655,14.621921727783622,1903.688272967178,1970.1722400058106
37,2025-09-14,1940.9485307457464,13.96608693046327,14.646388195556884,1907.6509243108083,1974.2461371806846
38,2025-09-21,1945.3467852586164,13.990219103293123,14.671695869283113,1911.9916434812942,1978.7019270359385
39,2025-09-28,1949.8523033222423,14.014691287572854,14.697360116737588,1916.4388155554668,1983.2657910890177
40,2025-10-05,1954.1812832582086,14.038849052059165,14.722694628713995,1920.7101991340412,1987.652367382376
41,2025-10-12,1958.069396676971,14.062027371659589,14.747001986120457,1924.543051364203,1991.5957419897393
42,2025-10-19,1961.301035719778,14.083750767765354,14.769783549336772,1927.7228980117911,1994.8791734277647
43,2025-10-26,1963.7327913240313,14.103880783809256,14.790894117445772,1930.1066601190043,1997.3589225290582
44,2025-11-02,1965.3074477347625,14.122668425461109,14.810596922840164,1931.6365234892312,1998.9783719802938
45,2025-11-09,1966.0562298658394,14.140718965957364,14.829526722186543,1932.3422699585387,1999.7701897731401
46,2025-11-16,1966.0889494714872,14.15891053038064,14.84860441486842,1932.3316176765836,1999.8462812663909
47,2025-11-23,1965.5737131244268,14.178301282439822,14.868939708746845,1931.770150367783,1999.3772758810708
48,2025-11-30,1964.7095990184887,14.200022191634767,14.891718663912568,1930.8542497958585,1998.5649482411188
49,2025-12-07,1963.6968470159075,14.225121767066023,14.918040863333221,1929.7816559930254,1997.6120380387895
50,2025-12-14,1962.7094194130118,14.254342430137381,14.948684892459315,1928.72456119247,1996.6942776335536
51,2025-12-21,1961.8742220471472,14.287866761622272,14.983842225745938,1927.8094359268769,1995.9390081674176
52,2025-12-28,1961.259943220645,14.325134698142163,15.590836925756111,1924.3779767760911,1998.141909665199
